Areaname,STCOU,Land Area (mi^2)
UNITED STATES,00000,3787425.08
CALIFORNIA,06000,163707.15
"Alameda, CA",06001,821.26
"Alpine, CA",06003,743.23
"Amador, CA",06005,604.26
"Butte, CA",06007,1677.22
"Calaveras, CA",06009,1036.92
"Colusa, CA",06011,1156.32
"Contra Costa, CA",06013,802.18
"Del Norte, CA",06015,1229.84
"El Dorado, CA",06017,1791.29
"Fresno, CA",06019,6017.89
"Glenn, CA",06021,1327.25
"Humboldt, CA",06023,4052.52
"Imperial, CA",06025,4482.08
"Inyo, CA",06027,10227.75
"Kern, CA",06029,8162.03
"Kings, CA",06031,1391.58
"Lake, CA",06033,1329.59
"Lassen, CA",06035,4720.61
"Los Angeles, CA",06037,4752.32
"Madera, CA",06039,2153.39
"Marin, CA",06041,828.22
"Mariposa, CA",06043,1462.89
"Mendocino, CA",06045,3878.5
"Merced, CA",06047,1972.02
"Modoc, CA",06049,4203.62
"Mono, CA",06051,3131.89
"Monterey, CA",06053,3771.11
"Napa, CA",06055,788.34
"Nevada, CA",06057,974.54
"Orange, CA",06059,947.91
"Placer, CA",06061,1500.24
"Plumas, CA",06063,2613.75
"Riverside, CA",06065,7303.81
"Sacramento, CA",06067,995.65
"San Benito, CA",06069,1390.81
"San Bernardino, CA",06071,20106.39
"San Diego, CA",06073,4525.92
"San Francisco, CA",06075,231.89
"San Joaquin, CA",06077,1426.37
"San Luis Obispo, CA",06079,3615.73
"San Mateo, CA",06081,741.07
"Santa Barbara, CA",06083,3789.56
"Santa Clara, CA",06085,1304.53
"Santa Cruz, CA",06087,607.72
"Shasta, CA",06089,3847.61
"Sierra, CA",06091,962.03
"Siskiyou, CA",06093,6347.81
"Solano, CA",06095,906.85
"Sonoma, CA",06097,1768.35
"Stanislaus, CA",06099,1514.8
"Sutter, CA",06101,608.86
"Tehama, CA",06103,2962.3
"Trinity, CA",06105,3207.79
"Tulare, CA",06107,4839.41
"Tuolumne, CA",06109,2274.52
"Ventura, CA",06111,2208.36
"Yolo, CA",06113,1022.87
"Yuba, CA",06115,643.55
