id,county,popu_density,median_oxy_Result,median_tb_Result,median_ph_Result,median_temp_Result
0,Alameda,1940.667389,9.02,4.4,7.78,17.8
1,Alpine,1.486753764,9.03,1.15,7.9,8.9
2,Amador,61.86575315,8.11,0.785,7.465,15
3,Butte,133.178936,8.67,4.045,7.65,16.4
4,Calaveras,43.48720248,9.215,0.97,7.61,15.3
5,Colusa,18.54633665,8.02,25.85,7.91,20.67
6,Contra Costa,1373.829128,9.34,8.7,7.74,17.055
7,Del Norte,22.60710743,11.95,1.4,7.94,12.5
8,El Dorado,102.4316973,8.38,4.985,7.55,16
9,Fresno,159.4725892,9.45,1.17,7.24,14.6
10,Glenn,21.08316067,8.915,6.9,7.85,15.7
11,Humboldt,33.38367238,12.26,0.94,8.16,20.41
12,Imperial,39.82414415,13.295,60.2,7.85,21.58
13,Inyo,1.787563247,12.1,1.085,7.81,13
14,Kern,106.2670837,8.225,20.3,7.82,21.05
15,Kings,108.3854324,8.61,6.16,7.27,18.5
16,Lake,48.27559624,9.41,0.7,7.865,17.15
17,Lassen,6.886239278,12.27,4.575,8.335,13.9
18,Los Angeles,2109.371107,7.995,2.58,8.1,17.8
19,Madera,71.22571852,9.27,1.57,7.06,16.2
20,Marin,312.2500664,9.97,4.02,7.37,14.48
21,Mariposa,12.18811736,6.5,9.09,7.57,14.445
22,Mendocino,22.5611061,12.46,0.82,7.76,15.24
23,Merced,134.0463078,9.29,25,7.9,18.89
24,Modoc,2.190374011,8.405,5.3,7.94,11.45
25,Mono,4.512969804,10.4,1.57,8.1,11.5
26,Monterey,113.6791621,14.875,39.15,8.02,17.5
27,Napa,177.3663648,10.9,1.92,7.86,15.91
28,Nevada,101.3126706,8.7,1.32,7.775,14.12
29,Orange,3288.160928,7.29,14,8.01,13.17
30,Placer,245.12528,8.4,3.89,7.6,14.5
31,Plumas,7.299234816,8.48,3.3,7.7,15.1
32,Riverside,316.2340443,6.6,10.715,8.203333333,18.39
33,Sacramento,1478.901095,9.1,4.18,7.5,18.47
34,San Benito,41.48841323,18.97,27.4,8.1,18.29
35,San Bernardino,104.3593293,9.46,3.47,8.1,17.85
36,San Diego,713.7135654,8.71,2.45,7.9,18.68
37,San Francisco,3651.39937,,,,
38,San Joaquin,499.8775738,7.4,14,7.46,18.5
39,San Luis Obispo,76.60773205,15.51,2.01,8.04,16.115
40,San Mateo,1013.199833,10.88,2.7,7.58,14.2
41,Santa Barbara,115.3235468,20,4.34,7.91,17.69
42,Santa Clara,1437.14125,10.735,11.5,7.94,15.8
43,Santa Cruz,444.5774781,13.655,4.67,7.965,16.1
44,Shasta,46.37265081,10,2.71,7.9,14.9
45,Sierra,3.164532291,9,0.74,8,15.135
46,Siskiyou,6.917405373,10.94,2.3,8.15,13.25
47,Solano,472.2251475,9.55,17,7.77,16.13
48,Sonoma,280.4948822,10.95,4.25,7.85,18.37
49,Stanislaus,349.3073343,7.96,17,7.76,17.49
50,Sutter,156.3538827,7.855,11.7,7.69,20.3
51,Tehama,21.36789825,10.1,1.975,7.915,14.05
52,Trinity,4.134154667,12.88,0.49,8.005,13.59
53,Tulare,93.8968025,9.28,1.37,7.835,16.6
54,Tuolumne,23.83750198,8.495,1.44,7.8,17.7
55,Ventura,380.9727015,15.375,1.58,7.85,17.4
56,Yolo,204.2169337,7.3,24.4,7.82,21.5
57,Yuba,114.7758527,8.42,6.71,7.68,18.7
