,county,mean_latitude,mean_longitude,Land Area (mi^2),popu_mean,popu_density
0,Alameda,37.732203888888904,-122.09767991666665,821.26,1593792.5,1940.66738913377
1,Alpine,38.673376000000005,-120.05884499999999,743.23,1105.0,1.486753763976158
2,Amador,38.45193376923077,-120.71069669230769,604.26,37383.0,61.86575315261643
3,Butte,39.64051395833334,-121.60036904166668,1677.22,223370.375,133.17893597739115
4,Calaveras,38.20969157142858,-120.56186657142858,1036.92,45092.75,43.48720248428037
5,Colusa,39.19264637500001,-122.17463937500001,1156.32,21445.5,18.546336654213366
6,Contra Costa,37.89922693999999,-122.01435086000005,802.18,1102058.25,1373.829128125857
7,Del Norte,41.8230145,-124.06404616666667,1229.84,27803.125,22.6071074286086
8,El Dorado,38.80635709999999,-120.50153493333333,1791.29,183484.875,102.431697268449
9,Fresno,36.73911883673475,-119.70068013265308,6017.89,959688.5,159.47258922977986
10,Glenn,39.59722328571428,-122.19666257142856,1327.25,27982.625,21.083160670559426
11,Humboldt,40.61259021052631,-123.94430031578948,4052.52,135288.0,33.38367238162921
12,Imperial,32.994154941176475,-115.40798229411763,4482.08,178495.0,39.82414414736016
13,Inyo,36.584738249999994,-117.58064175000003,10227.75,18282.75,1.787563247048471
14,Kern,35.352289279411785,-118.64609207352947,8162.03,867355.125,106.26708367893772
15,Kings,36.14981944444444,-119.85103644444445,1391.58,150827.0,108.38543238620849
16,Lake,39.03912742857143,-122.77406085714286,1329.59,64186.75,48.27559623643379
17,Lassen,40.52751646666666,-120.57322486666666,4720.61,32507.25,6.886239278398343
18,Los Angeles,33.800378185605844,-118.27926885037942,4752.32,10024406.5,2109.3711071645007
19,Madera,37.18610883333333,-119.79888891666666,2153.39,153376.75,71.22571851824333
20,Marin,38.036298707317066,-122.66888717073165,828.22,258611.75,312.25006640747625
21,Mariposa,37.571633625,-119.961797625,1462.89,17829.875,12.188117356739056
22,Mendocino,39.32674289285715,-123.48909657142859,3878.5,87503.25,22.56110609771819
23,Merced,37.29105765217391,-120.6330315652174,1972.02,264342.0,134.04630784677641
24,Modoc,41.4556578,-120.65738600000002,4203.62,9207.5,2.190374010971496
25,Mono,38.02781642857143,-119.12364271428571,3131.89,14134.125,4.5129698041757536
26,Monterey,36.45052037142858,-121.4723781714286,3771.11,428696.625,113.67916210346556
27,Napa,38.49342545454545,-122.40016436363636,788.34,139825.0,177.36636476647132
28,Nevada,39.27767693333333,-120.73705553333335,974.54,98733.25,101.31267059330557
29,Orange,33.63370532638879,-117.76115440972252,947.91,3116880.625,3288.160927725206
30,Placer,39.02226955172412,-120.85109537931035,1500.24,367746.75,245.12527995520716
31,Plumas,39.956471500000006,-120.83721243750003,2613.75,19078.375,7.29923481587757
32,Riverside,33.74089041414148,-116.20240102020202,7303.81,2309713.375,316.2340442864751
33,Sacramento,38.44190629197081,-121.4281124452554,995.65,1472467.875,1478.9010947622157
34,San Benito,36.7725194,-121.3340872,1390.81,57702.5,41.488413226824655
35,San Bernardino,34.610932773109184,-116.12849215966375,20106.39,2098289.375,104.35932929780036
36,San Diego,32.92999887165776,-116.95087887700512,4525.92,3230210.5,713.7135654187435
37,San Francisco,37.77847868571426,-122.61361817142868,231.89,846723.0,3651.3993703911337
38,San Joaquin,37.948961069767435,-121.25070718604655,1426.37,713010.375,499.87757384128946
39,San Luis Obispo,35.39773058823529,-120.60370423529415,3615.73,276992.875,76.60773204857664
40,San Mateo,37.45245198214285,-122.33742876785712,741.07,750852.0,1013.1998326743761
41,Santa Barbara,34.52426207317073,-119.98744056097561,3789.56,437025.5,115.32354679698963
42,Santa Clara,37.207013807017596,-121.71936135964894,1304.53,1874793.875,1437.141250105402
43,Santa Cruz,37.04120752380952,-122.00530590476191,607.72,270178.625,444.57747811492135
44,Shasta,40.71941912121213,-122.14295312121213,3847.61,178423.875,46.372650814401666
45,Sierra,39.56006628571429,-120.60998242857143,962.03,3044.375,3.1645322910927933
46,Siskiyou,41.611664545454545,-122.64572977272728,6347.81,43910.375,6.91740537287663
47,Solano,38.2337684,-122.00663386666669,906.85,428237.375,472.2251474885593
48,Sonoma,38.44832129411765,-122.88173576470592,1768.35,496013.125,280.49488223485173
49,Stanislaus,37.60244113793104,-120.94311634482759,1514.8,529130.75,349.30733430155794
50,Sutter,39.0143003,-121.67355219999999,608.86,95197.625,156.3538826659659
51,Tehama,40.130419307692314,-122.07853938461538,2962.3,63298.125,21.367898254734495
52,Trinity,40.66348025,-123.06893749999999,3207.79,13261.5,4.134154667231957
53,Tulare,36.229397025,-119.097297225,4839.41,454405.125,93.89680250278444
54,Tuolumne,37.97699012499999,-120.21197556250002,2274.52,54218.875,23.837501978439406
55,Ventura,34.16279727659573,-119.07711451063828,2208.36,841324.875,380.9727014617182
56,Yolo,38.69529295238095,-121.90506771428569,1022.87,208887.375,204.2169337256934
57,Yuba,39.315632,-121.28841215384614,643.55,73864.0,114.77585269209852
