,county,popu_density,median_oxy_Result,median_tb_Result,median_ph_Result,median_temp_Result
0,Alameda,1940.6673891337698,9.02,4.4,7.78,17.8
1,Alpine,1.486753763976158,9.03,1.15,7.9,8.9
2,Amador,61.865753152616435,8.11,0.7849999999999999,7.465,15.0
3,Butte,133.17893597739115,8.67,4.045,7.65,16.4
4,Calaveras,43.48720248428037,9.215,0.97,7.61,15.3
5,Colusa,18.546336654213366,8.02,25.85,7.91,20.67
6,Contra Costa,1373.8291281258569,9.34,8.7,7.74,17.055
7,Del Norte,22.607107428608604,11.95,1.4,7.94,12.5
8,El Dorado,102.431697268449,8.38,4.9849999999999985,7.55,16.0
9,Fresno,159.47258922977989,9.45,1.17,7.24,14.6
10,Glenn,21.083160670559426,8.915,6.9,7.85,15.7
11,Humboldt,33.38367238162921,12.26,0.94,8.16,20.41
12,Imperial,39.82414414736016,13.295,60.2,7.85,21.58
13,Inyo,1.787563247048471,12.1,1.085,7.81,13.0
14,Kern,106.26708367893772,8.225000000000001,20.3,7.82,21.05
15,Kings,108.38543238620848,8.61,6.16,7.27,18.5
16,Lake,48.27559623643379,9.41,0.7,7.865,17.15
17,Lassen,6.886239278398343,12.27,4.574999999999998,8.335,13.9
18,Los Angeles,2109.3711071645007,7.995,2.58,8.1,17.8
19,Madera,71.22571851824333,9.27,1.57,7.06,16.2
20,Marin,312.25006640747625,9.97,4.02,7.37,14.48
21,Mariposa,12.188117356739054,6.5,9.09,7.57,14.445
22,Mendocino,22.56110609771819,12.46,0.8200000000000001,7.76,15.24
23,Merced,134.04630784677641,9.29,25.0,7.9,18.89
24,Modoc,2.190374010971496,8.405000000000001,5.3,7.94,11.45
25,Mono,4.5129698041757536,10.4,1.57,8.1,11.5
26,Monterey,113.67916210346556,14.875,39.15000000000001,8.02,17.5
27,Napa,177.36636476647132,10.9,1.92,7.8599999999999985,15.91
28,Nevada,101.31267059330557,8.7,1.32,7.775,14.12
29,Orange,3288.1609277252064,7.29,14.0,8.01,13.17
30,Placer,245.12527995520716,8.4,3.89,7.6,14.5
31,Plumas,7.29923481587757,8.48,3.3,7.7,15.1
32,Riverside,316.2340442864751,6.6,10.715,8.203333333,18.39
33,Sacramento,1478.9010947622155,9.1,4.18,7.5,18.47
34,San Benito,41.488413226824655,18.97,27.4,8.1,18.29
35,San Bernardino,104.35932929780034,9.46,3.47,8.1,17.85
36,San Diego,713.7135654187434,8.71,2.45,7.9,18.68
37,San Francisco,3651.3993703911333,,,,
38,San Joaquin,499.8775738412895,7.4,14.0,7.46,18.5
39,San Luis Obispo,76.60773204857664,15.51,2.01,8.04,16.115000000000002
40,San Mateo,1013.199832674376,10.88,2.7,7.58,14.2
41,Santa Barbara,115.32354679698963,20.0,4.34,7.91,17.69
42,Santa Clara,1437.141250105402,10.735,11.5,7.94,15.8
43,Santa Cruz,444.57747811492135,13.655,4.67,7.965,16.1
44,Shasta,46.37265081440167,10.0,2.71,7.9,14.9
45,Sierra,3.1645322910927933,9.0,0.74,8.0,15.135
46,Siskiyou,6.91740537287663,10.94,2.3,8.15,13.25
47,Solano,472.22514748855934,9.55,17.0,7.77,16.13
48,Sonoma,280.49488223485173,10.95,4.25,7.85,18.37
49,Stanislaus,349.30733430155794,7.96,17.0,7.76,17.49
50,Sutter,156.3538826659659,7.855,11.7,7.69,20.3
51,Tehama,21.36789825473449,10.1,1.975,7.915,14.05
52,Trinity,4.134154667231957,12.88,0.49,8.004999999999999,13.59
53,Tulare,93.89680250278444,9.28,1.37,7.835,16.6
54,Tuolumne,23.837501978439413,8.495000000000001,1.44,7.8,17.7
55,Ventura,380.9727014617182,15.375,1.58,7.85,17.4
56,Yolo,204.2169337256934,7.3,24.4,7.82,21.5
57,Yuba,114.77585269209852,8.42,6.71,7.68,18.7
